title	price	listing_url	location	installment	posted_time	year	lower_km	upper_km
[OLXmobbi] Honda Civic 1.5 E Hatchback Bensin-AT 2019 Putih	372000000	https://olx.co.id/olxmobbi/item/olxmobbi-honda-civic-15-e-hatchback-bensin-at-2019-putih-iid-922269768	Pesanggrahan	8400000.0	25 Jun	2019.0	40000.0	45000.0
[OLXmobbi] Honda Civic 2.0 FB3 Bensin-AT 2015 Abu-Abu (KBO)	209000000	https://olx.co.id/olxmobbi/item/olxmobbi-honda-civic-20-fb3-bensin-at-2015-abu-abu-kbo-iid-921671513	Cilandak	4700000.0	25 Jun	2015.0	105000.0	110000.0
[OLXmobbi] Honda Civic 1.5 ES Bensin-AT 2016 Putih (VX)	260000000	https://olx.co.id/olxmobbi/item/olxmobbi-honda-civic-15-es-bensin-at-2016-putih-vx-iid-922297720	Cilandak	5800000.0	25 Jun	2016.0		85000.0
[OLXmobbi] Honda Civic 1.5 E Hatchback Bensin-AT 2018 Hitam (SYT)	351000000	https://olx.co.id/olxmobbi/item/olxmobbi-honda-civic-15-e-hatchback-bensin-at-2018-hitam-syt-iid-922009546	Kebayoran Lama	7900000.0	25 Jun	2018.0	40000.0	45000.0
Honda Civic FB3 2.0 2014 Mint Condition	173000000	https://olx.co.id/olxmobbi/item/honda-civic-fb3-20-2014-mint-condition-iid-920462200	Cilandak	0.0	15 Mei	2014.0	95000.0	100000.0
Honda Civic 1.5 Turbo HatchBack 2020 FullOriginal SepertiBaru Gresss	328000000	https://olx.co.id/olxmobbi/item/honda-civic-15-turbo-hatchback-2020-fulloriginal-sepertibaru-gresss-iid-920374099	Cilandak	0.0	13 Jun	2020.0	35000.0	40000.0
Honda Civic 1.8 FB2 A/T ( 2015 )	200000000	https://olx.co.id/olxmobbi/item/honda-civic-18-fb2-at-2015--iid-921685128	Kebayoran Lama		10 Jun	2015.0	45000.0	50000.0
KM.40rb Facelift Honda Civic 1.8 2014 #aokl#	188000000	https://olx.co.id/olxmobbi/item/km40rb-facelift-honda-civic-18-2014-aokl-iid-921389847	Kebayoran Lama	0.0	04 Jun	2014.0	40000.0	45000.0
Honda Civic 1.8 FD AT 2008	127000000	https://olx.co.id/olxmobbi/item/honda-civic-18-fd-at-2008-iid-922302513	Cilandak	0.0	25 Jun	2008.0	155000.0	160000.0
HONDA CIVIC FB 1.8 A/T 2012	143000000	https://olx.co.id/olxmobbi/item/honda-civic-fb-18-at-2012-iid-921898330	Pesanggrahan	0.0	25 Jun	2012.0	140000.0	145000.0
Civic 1.5 RS Turbo 2022 metic istimewa	485000000	https://olx.co.id/olxmobbi/item/civic-15-rs-turbo-2022-metic-istimewa-iid-922269991	Cilandak	0.0	25 Jun	2022.0	30000.0	35000.0
Jual Cash Honda Civic Turbo 1.5 Hatchback E (AT) 2018	363000000	https://olx.co.id/olxmobbi/item/jual-cash-honda-civic-turbo-15-hatchback-e-at-2018-iid-922265821	PesanggrahanKemarin	0.0	24 Jun			35000.0
HONDA CIVIC HATCHBACK 1.5 RS 2020 PUTIH	391000000	https://olx.co.id/olxmobbi/item/honda-civic-hatchback-15-rs-2020-putih-iid-922258669	Mampang PrapatanKemarin		24 Jun		20000.0	25000.0
(LOW KM) Honda Civic ES AT 2016	315000000	https://olx.co.id/olxmobbi/item/low-km-honda-civic-es-at-2016-iid-922185255	Kebayoran Lama	0.0	22 Jun	2016.0	30000.0	35000.0
HONDA CIVIC ES PRESTIGE NIK 2020	382000000	https://olx.co.id/olxmobbi/item/honda-civic-es-prestige-nik-2020-iid-922168758	Kebayoran Lama	0.0	22 Jun	2020.0	10000.0	15000.0
Honda civic vtis 2001 automatic	59999999	https://olx.co.id/olxmobbi/item/honda-civic-vtis-2001-automatic-iid-922165869	Kebayoran Lama	0.0	22 Jun	2001.0	200000.0	205000.0
HONDA CIVIC ES CVT AT 2018	345000000	https://olx.co.id/olxmobbi/item/honda-civic-es-cvt-at-2018-iid-922164932	Kebayoran Lama	0.0	22 Jun	2018.0	35000.0	40000.0
HONDA CIVIC RS HATCHBACK 2020 ANTIK KM 20 RB ISTIMEWA JARANG ADA	391000000	https://olx.co.id/olxmobbi/item/honda-civic-rs-hatchback-2020-antik-km-20-rb-istimewa-jarang-ada-iid-922154746	Cilandak	0.0	22 Jun	2020.0	15000.0	20000.0
HONDA CIVIC ES 2019 ANTIK KM 30 RB ISTIMEWA JARANG ADA	346000000	https://olx.co.id/olxmobbi/item/honda-civic-es-2019-antik-km-30-rb-istimewa-jarang-ada-iid-922154472	Pancoran		22 Jun	2019.0	25000.0	30000.0
[OLXmobbi] Honda Civic 1.5 E Hatchback Bensin-AT 2019 Putih	372000000	https://olx.co.id/olxmobbi/item/olxmobbi-honda-civic-15-e-hatchback-bensin-at-2019-putih-iid-922269768	Pasar Minggu	8400000.0	25 Jun	2019.0	40000.0	45000.0
[OLXmobbi] Honda Civic 1.5 E Hatchback Bensin-AT 2018 Hitam (SYT)	351000000	https://olx.co.id/olxmobbi/item/olxmobbi-honda-civic-15-e-hatchback-bensin-at-2018-hitam-syt-iid-922008684	Pasar Minggu	7900000.0	25 Jun	2018.0	40000.0	45000.0
[OLXmobbi] Honda Civic 1.5 E Hatchback Bensin-AT 2018 Hitam (SYT)	351000000	https://olx.co.id/olxmobbi/item/olxmobbi-honda-civic-15-e-hatchback-bensin-at-2018-hitam-syt-iid-922008018	Mampang Prapatan	7900000.0	25 Jun	2018.0		45000.0
[OLXmobbi] Honda Civic 1.5 E Hatchback Bensin-AT 2018 Hitam (SYT)	351000000	https://olx.co.id/olxmobbi/item/olxmobbi-honda-civic-15-e-hatchback-bensin-at-2018-hitam-syt-iid-922010359	Pesanggrahan	7900000.0	25 Jun	2018.0	40000.0	45000.0
[OLXmobbi] Honda Civic 2.0 FB3 Bensin-AT 2015 Abu-Abu (KBO)	209000000	https://olx.co.id/olxmobbi/item/olxmobbi-honda-civic-20-fb3-bensin-at-2015-abu-abu-kbo-iid-921204632	Cilandak	4700000.0	25 Jun	2015.0		110000.0
Honda Civic Turbo 1.5 ES Sedan AT 2018	325000000	https://olx.co.id/olxmobbi/item/honda-civic-turbo-15-es-sedan-at-2018-iid-921730846	Jakarta Selatan	0.0	11 Jun	2018.0	80000.0	85000.0
Honda Civic 1.8 FB AT Allnew 2013 Full Original SepertiBaru Istimewa	148000000	https://olx.co.id/olxmobbi/item/honda-civic-18-fb-at-allnew-2013-full-original-sepertibaru-istimewa-iid-920995820	Cilandak	0.0	21 Jun	2013.0	70000.0	75000.0
2007 Honda Civic FD 1.8 Automatic	123000000	https://olx.co.id/olxmobbi/item/2007-honda-civic-fd-18-automatic-iid-922043077	Cilandak		19 Jun	2007.0	120000.0	125000.0
Honda Civic 1.5 Turbo Prestige CVT Sedan Hitam 2016 Istimewah	305000000	https://olx.co.id/olxmobbi/item/honda-civic-15-turbo-prestige-cvt-sedan-hitam-2016-istimewah-iid-914168420	Jakarta Selatan	0.0	21 Jun	2016.0	65000.0	70000.0
Honda Civic Turbo ES cvt 2017 / Civic  matic 2017	320000000	https://olx.co.id/olxmobbi/item/honda-civic-turbo-es-cvt-2017-civic-matic-2017-iid-922120878	Pasar Minggu	0.0	21 Jun	2017.0	70000.0	75000.0
(++ condition) Honda civic RS 2022 turbo low km	515000000	https://olx.co.id/olxmobbi/item/condition-honda-civic-rs-2022-turbo-low-km-iid-922120775	Kebayoran Lama	0.0	21 Jun	2022.0	15000.0	20000.0
H.Civic 1.5 ES Turbo 2016 Ser rec	287000000	https://olx.co.id/olxmobbi/item/hcivic-15-es-turbo-2016-ser-rec-iid-922102432	Cilandak	0.0	20 Jun	2016.0	60000.0	65000.0
Civic Turbo ES (6 Airbag) 2017 Matic (Sedan)	290000000	https://olx.co.id/olxmobbi/item/civic-turbo-es-6-airbag-2017-matic-sedan-iid-922098492	Kebayoran Baru	0.0	20 Jun	2018.0	55000.0	60000.0
Honda Civic Turbo 1.5 ES AT 2016	315000000	https://olx.co.id/olxmobbi/item/honda-civic-turbo-15-es-at-2016-iid-922068758	Kebayoran Lama	0.0	19 Jun	2016.0	30000.0	35000.0
HONDA CIVIC FD1 1.8 AT CBU 2011 PEMAKAIAN 2012	146000000	https://olx.co.id/olxmobbi/item/honda-civic-fd1-18-at-cbu-2011-pemakaian-2012-iid-922063796	Cilandak	0.0	19 Jun	2011.0	155000.0	160000.0
Honda Civic FD 1.8 2008	127000000	https://olx.co.id/olxmobbi/item/honda-civic-fd-18-2008-iid-922049784	Kebayoran Baru		19 Jun	2008.0	160000.0	165000.0
DIJUAL! Honda Civic Fd 1 tahun 2009 AT 1.8	150000000	https://olx.co.id/olxmobbi/item/dijual-honda-civic-fd-1-tahun-2009-at-18-iid-922019678	Cilandak	0.0	18 Jun	2009.0	95000.0	100000.0
Honda Civic FD 2006 1.8 M/T Manual Silver	118000000	https://olx.co.id/olxmobbi/item/honda-civic-fd-2006-18-mt-manual-silver-iid-922019409	Kebayoran Baru		18 Jun	2006.0	140000.0	145000.0
Di jual honda civic mulus terawat	105000000	https://olx.co.id/olxmobbi/item/di-jual-honda-civic-mulus-terawat-iid-921999090	Kebayoran Lama	0.0	18 Jun	2008.0		130000.0
[OLXmobbi] Honda Civic 1.5 E Hatchback Bensin-AT 2019 Putih	372000000	https://olx.co.id/olxmobbi/item/olxmobbi-honda-civic-15-e-hatchback-bensin-at-2019-putih-iid-922269768	Cilandak	8400000.0	25 Jun	2019.0	40000.0	45000.0
[OLX AUTOS] TDP 10JT Honda Civic 2.0 FB3 Bensin-AT 2015 Hitam (TBD)	172000000	https://olx.co.id/olxmobbi/item/olx-autos-tdp-10jt-honda-civic-20-fb3-bensin-at-2015-hitam-tbd-iid-917310290	Cilandak		25 Jun	2015.0		130000.0
[OLX Mobbi] Honda Jazz 1.5 RS Bensin-MT 2019 8YH	242000000	https://olx.co.id/olxmobbi/item/olx-mobbi-honda-jazz-15-rs-bensin-mt-2019-8yh-iid-921728198	Cilandak	5400000.0	25 Jun	2019.0	60000.0	65000.0
[OLXmobbi] Honda Jazz 1.5 S Bensin-AT 2018 Putih 9CW	198000000	https://olx.co.id/olxmobbi/item/olxmobbi-honda-jazz-15-s-bensin-at-2018-putih-9cw-iid-920924886	Pesanggrahan	4400000.0	25 Jun	2018.0	60000.0	65000.0
