news_title,author,article,news_created,scrapped_at,image
"Bupati Nonaktif Sidoarjo Muhdlor Ali Divonis 4,5 Tahun Penjara",CNN Indonesia,"Bupati Sidoarjo nonaktif Ahmad Muhdlor Ali alias Gus Muhdlor divonis 4,5 tahun penjara dalam kasus korupsi pemotongan dana insentif pegawai atau ASN Badan Pelayanan Pajak Daerah (BPPD) Kabupaten Sidoarjo.
Amar putusan itu dibacakan Ketua Majelis Hakim Ni Putu Sri Indayani dalam persidangan di Pengadilan Tipikor Surabaya, Senin (23/12).
""Menjatuhkan pidana terhadap terdakwa dengan pidana selama 4 tahun dan 6 bulan penjara,"" kata Ketua Majelis Hakim Ni Putu Sri Indayani.
Selain itu, Muhdlor juga dikenakan pidana denda Rp300 juta subsider 3 bulan kurungan dan pidana tambahan uang pengganti Rp1,4 miliar subsider 1,5 tahun penjara.

Muhdlor, kata hakim, terbukti melanggar Pasal 12 huruf F jo pasal 18 UU Tipikor jo Pasal 55 ayat 1 ke-1 jo Pasal 64 ayat 1 KUHP, sesuai dengan dakwaan alternatif pertama.
Hakim menyatakan sejumlah pertimbangan yang membuat hukuman Muhdlor menjadi lebih ringan. Yakni, dia tidak pernah dihukum sebelumnya, berkelakuan baik, dan berkontribusi banyak selama kepemimpinannya di Sidoarjo.
""Terdakwa telah berhasil membangun infrastruktur untuk Sidoarjo dan meningkatkan pendapatan daerah. Dari sebelumnya hanya Rp 800-900 miliar hingga Rp 1,2 triliun,"" ucap hakim.
Terhadap putusan itu, baik Jaksa Komisi Pemberantasan Korupsi (KPK) dan tim panasihat hukum Muhdlor yang diketuai Mustofa Abidin masih pikir-pikir.
""Kami pikir-pikir majelis,"" ujar Mustofa Abidin.
Hal sama juga disampaikan oleh Jaksa KPK Johan Dwi. Pihaknya akan melaporkan hasil putusan tersebut kepada pimpinan.
Sebelumnya, Muhdlor dituntut 6 tahun 4 bulan penjara dalam perkara korupsi pemotongan dana insentif pegawai BPPD Sidoarjo. Dia juga diwajibkan membayar denda Rp300 juta serta mengembalikan uang pengganti Rp1,4 miliar subsidair 3 tahun penjara.
Muhdlor dianggap melanggar Pasal 12 Huruf E jo Pasal 18 UU RI 20 Tahun 2021 tentang perubahan atas UU RI Nomor 31 Tahun 1999 tentang Pemberantasan Tipikor jo Pasal 55 ayat 1 kesatu jo Pasal 64 Ayat 1 KUHP.


Kasus ini berawal dari adanya OTT KPK di kantor BPPD Sidoarjo, 25 Januari lalu. Saat itu KPK mengamankan 11 orang, termasuk mantan Kepala BPPD Sidoarjo Ari Suryono dan mantan Kassubag Umum dan Kepegawaian Siska Wati.
Keduanya telah divonis hakim masing-masing hukuman 5 tahun dan 4 tahun penjara. Mereka terbukti memotong insentif ASN BPPD Sidoarjo 10 hingga 30 persen mulai triwulan keempat tahun 2021 sampai triwulan keempat tahun 2023 dengan total Rp8,544 miliar.","Senin, 23 Des 2024 21:10 WIB",2024-12-23 21:36:29,https://akcdn.detik.net.id/visual/2024/12/17/eks-bupati-sidoarjo-gus-muhdlor-terisak-bacakan-pledoi-kasus-korupsi_169.jpeg?w=650&q=90
Martinez Sebut Ruang Ganti MU Penuh Amarah Usai Dihajar Bournemouth,CNN Indonesia,"Bek Manchester United Lisandro Martinez menyebut ruang ganti klub berjulukan Setan Merah itu penuh amarah setelah dihajar Bournemouth 0-3 di Liga Inggris.
Man United dipermalukan Bournemouth 0-3 dalam pertandingan pekan ke-17 Premier League di Old Trafford, Minggu (22/12).
Kekalahan itu membuat hasrat MU melanjutkan tren kemenangan di Liga Inggris sirna. Sebelum dihajar Bournemouth, MU menang 2-1 atas Man City. Lisandro Martinez menyebut sejumlah pemain MU marah dengan hasil buruk tersebut.

""Kami sangat marah dengan situasi seperti ini,"" kata Martinez dikutip dari Express.
""Kami harus bekerja keras terutama pada situasi bola mati. Saya sangat percaya pada tim dan staf ini,"" ucap Martinez menambahkan.
Pemain asal Argentina itu pun memberikan komentar kontroversial yang menyudutkan rekan setim. Menurut Martinez, MU tidak akan kalah dari Bournemouth jika bisa mencetak gol.


""Jika mereka tidak mencetak gol pertama dari situasi bola mati, maka pertandingan akan sangat berbeda. Kami kehilangan banyak peluang hari ini. Kami harus mencetak gol. Kami tahu apa yang harus kami lakukan dan kami harus berubah dengan cepat,"" tutur Martinez.
Mantan pemain Ajax Amsterdam ini kemudian harus terus saling percaya satu sama lain agar keluar dari situasi sulit seperti sekarang.
""Saya selalu mengatakan dalam situasi seperti ini kami harus menunjukkan kepribadian dan karakter,"" ujar Martinez.
""Kami bermain sangat baik dan sayangnya, kami tidak dapat mencetak gol hari ini. Kami harus yakin. Di klub ini, kami harus memenangkan setiap pertandingan dan kami tahu itu,"" kata Martinez melanjutkan.

[Gambas:Video CNN]","Senin, 23 Des 2024 21:10 WIB",2024-12-23 21:36:29,https://akcdn.detik.net.id/visual/2024/12/23/mu-vs-bournemouth-6_169.jpeg?w=650&q=90
12 Perusahaan Ternama AS Tumbang Sepanjang 2024,CNN Indonesia,"Sebanyak 12 perusahaan ternama di Amerika Serikat (AS) terpaksa mengajukan kebangkrutan sepanjang 2024.
Dilansir CNN, Faktor utama yang mendorong kebangkrutan ini adalah inflasi yang terus meningkat, perubahan tren konsumen, dan berbagai tekanan ekonomi lainnya.
Menurut data firma Challenger Gray & Christmas pengajuan kebangkrutan ini turut berdampak pada pemutusan hubungan kerja terhadap lebih dari 14 ribu karyawan.
Sektor ritel menjadi salah satu yang paling terdampak, dengan lebih dari 7.100 toko ditutup hingga akhir November 2024.

Beberapa perusahaan yang mengajukan kebangkrutan mencakup berbagai sektor, seperti ritel, restoran, hingga maskapai penerbangan.
Meski mengajukan kebangkrutan, beberapa perusahaan menggunakan proses ini untuk melakukan restrukturisasi utang dan mempertahankan bisnis mereka.
Pengajuan kebangkrutan Bab 11 memungkinkan perusahaan mengurangi biaya operasional, menutup sebagian lokasi, dan mencari peluang baru untuk bertahan di tengah tekanan ekonomi.
Berikut adalah beberapa di antaranya:

Diskon ritel ini menutup 963 lokasi setelah gagal menjual bisnisnya ke firma ekuitas swasta.
Produsen peralatan gym rumahan bangkit dari kebangkrutan setelah menjual asetnya senilai $37,5 juta atau senilai Rp606,5 miliar (prediksi kurs Rp16.180 per dolar AS).
Pengecer kain dan kerajinan tangan menjaga 850 toko tetap buka meski menjadi perusahaan swasta.

Ritel perlengkapan pesta akan menutup 700 toko akibat tekanan inflasi dan utang sebesar US$800 juta atau setara dengan Rp12,9 triliun.
Restoran seafood ini menutup lebih dari 100 lokasi tetapi berhasil bangkit dengan kepemimpinan baru.
Maskapai hemat ini berencana keluar dari kebangkrutan awal 2025 dengan restrukturisasi utang.

Merek wadah makanan ini dijual ke firma ekuitas swasta untuk menjaga operasional.
Ritel pakaian ini menutup hampir 100 lokasi setelah gagal menarik konsumen dengan produk yang tepat.
Mantan Lumber Liquidators ini menutup 94 toko tetapi terselamatkan oleh pembelian dari firma ekuitas swasta.


Produsen vodka terkenal ini terhambat oleh serangan siber dan permintaan yang melemah, tetapi terus beroperasi setelah restrukturisasi.
Restoran kasual ini mengajukan kebangkrutan setelah menghadapi tantangan pasca-pandemi dan terus mengeksplorasi opsi strategis.
Toko perangkat keras ini menjual operasinya ke pesaing karena tekanan dari pasar perumahan yang melemah.
[Gambas:Video CNN]","Senin, 23 Des 2024 21:04 WIB",2024-12-23 21:36:29,https://akcdn.detik.net.id/visual/2023/04/11/tupperware-4_169.jpeg?w=650&q=90
Mengenal 7 Bintang Baru dan Karakter Superman Era James Gunn,CNN Indonesia,"DC Studios merilis trailer pertama Superman garapan James Gunn pada Kamis (19/12) waktu AS. Trailer itu langsung mencetak rekor baru bagi DC dan Warner Bros. karena mengumpulkan 250 juta views dalam 24 jam pertama.
Trailer berdurasi 2 menit 19 detik tersebut menampilkan gambaran aksi David Corenswet sebagai Man of Steel baru di semesta DC era James Gunn.

Beberapa cuplikan juga menampilkan berbagai karakter DC Universe yang ikonis, mulai dari Lois Lane hingga Lex Luthor. Ada pula Mister Terrific, Hawkgirl, dan Green Lantern yang akan muncul dalam perjalanan Superman.
Selain itu, trailer Superman memperlihatkan kemunculan pertama Krypto the Superdog, sang anjing planet Krypton sekaligus sahabat Superman.

[Gambas:Video CNN]



Trailer itu tidak hanya memperlihatkan David Corensweet sebagai Man of Steel, tetapi juga sebagai Clark Kent. Ia merupakan alter-ego Superman yang bekerja di Daily Planet.
Clark Kent dikenal dengan penampilannya yang berkacamata khas seorang kutu buku. Sebagian besar orang tidak mengetahui bahwa Clark Kent adalah Superman, kecuali Lois Lance (Rachel Brosnahan).


Lois Lane muncul pertama kali di trailer saat tengah sibuk bekerja di Daily Planet. Lane merupakan seorang reporter yang cerdas dan berani.
Ia kemudian menjalin kedekatan dengan Clark Kent, hingga menjadi sepasang kekasih. Lois Lane juga menjadi satu dari segelintir orang yang mengetahui identitas asli Superman.

Superman versi James Gunn masih menampilkan Lex Luthor, musuh bebuyutan Superman. Namun, kali ini, villain ikonis tersebut dibintangi Nicholas Hoult.
Ia pun muncul di trailer perdana sebagai CEO LutherCorp, perusahaan besar di jantung kota Metropolis. Lex Luthor kemudian tampil dalam keadaan marah dengan wajah yang lecet.
Superman menjadi ajang debut karakter anjing DC, Krypto the Superdog, di film live action. Anjing itu juga telah muncul di trailer saat menyeret pulang Superman yang terkapar di gurun salju.
Krypto the Superdog merupakan anjing planet Krypton sekaligus sahabat Superman. Sebelum muncul di Superman, ia pernah tampil sebagai karakter utama serial animasi Krypto the Superdog (2005).

Superman bukan satu-satunya superhero yang akan muncul dalam cerita. Film itu nantinya menampilkan karakter pahlawan super lain, termasuk anggota Green Lantern bernama Guy Gardner (Nathan Fillion).
Ia bahkan muncul di trailer dengan rambut mangkuk dan memancarkan laser hijau ikonis dari cincinnya. Guy juga mengenakan seragam Green Lantern Corp, satuan polisi luar angkasa.
DC Universe juga mengenalkan Hawkgirl (Isabela Merced) sebagai superhero lain yang muncul di Superman. Ia tampil sekilas dalam trailer saat terbang dengan kostumnya.
Penampilan Hawkgirl itu tak hanya dilengkapi kostum warna hitam emas, tetapi juga senjata tongkat logam bernama Nth.
Karakter DC lain yang muncul dalam Superman adalah Mister Terrific (Edi Gathegi). Dalam trailer, ia tampil dengan topeng berbentuk huruf T di wajahnya.
Mister Terrific dikenal sebagai salah satu manusia paling cerdas di Bumi. Selain itu, ia juga pencipta ulung yang pandai membuat berbagai teknologi canggih.","Senin, 23 Des 2024 21:00 WIB",2024-12-23 21:36:29,https://akcdn.detik.net.id/visual/2024/12/20/film-superman-2025-1_169.png?w=650&q=80
Resmi Honda dan Nissan Merger,CNN Indonesia,"Honda Motor Co., Ltd. dan Nissan Motor Co., Ltd. telah menandatangani nota kesepahaman (MoU) untuk merger. Kedua perusahaan membentuk perusahaan induk baru bersama di Tokyo, Jepang.
MoU dibuat oleh kedua perusahaan pada 1 Agustus 2024, sekaligus dimulainya kemitraan strategis fokus pada kecerdasan buatan dan kendaraan elektrifikasi.
Nissan dan Honda sepakat untuk melakukan penelitian dalam teknologi untuk kendaraan berbasis perangkat lunak (SDV) generasi mendatang, khususnya di bidang yang vital untuk kendaraan masa depan.

Nota kesepahaman antara Nissan dan Honda yang diumumkan hari ini Senin (23/12) agar kedua perusahaan lebih kompetitif memberikan produk dan teknologi bagi pelanggan di seluruh dunia dari lini model ICE, HEV, PHEV, dan EV.
Selain itu dalam kemitraan ini, Nissan dan Honda berharap dapat berkontribusi pada pengembangan basis industri Jepang sebagai perusahaan otomotif global tidak hanya roda empat namun juga bisnis kendaraan roda dua seperti dilakukan oleh Honda saat ini.

""Hari ini menandai momen penting saat kami memulai diskusi tentang integrasi bisnis yang berpotensi membentuk masa depan kami. Jika terwujud, saya yakin bahwa dengan menyatukan kekuatan kedua perusahaan, kami dapat memberikan nilai yang tak tertandingi kepada pelanggan di seluruh dunia,"" kata Direktur, Presiden, CEO, dan Representative Executive Officer Nissan Makoto Uchida dalam keterangan resmi.
Nissan dan Honda berkomitmen untuk menjadi perusahaan mobilitas global dengan pendapatan penjualan melebihi 30 triliun yen dan laba operasi lebih dari 3 triliun yen.
Pada 2026, perusahaan induk gabungan yang baru dijadwalkan akan terdaftar di Bursa Efek Tokyo pada Agustus 2026.

[Gambas:Video CNN]","Senin, 23 Des 2024 21:00 WIB",2024-12-23 21:36:29,https://akcdn.detik.net.id/visual/2024/12/20/ilustrasi-honda-dan-nissan-merger-5_169.jpeg?w=650&q=90
"Warga Terdampak Banjir Makassar 2.551 Jiwa, Diprediksi Terus Bertambah",CNN Indonesia,"Jumlah warga terdampak banjir di empat kecamatan di Makassar, Sulawesi Selatan, terus bertambah. Tercatat jumlah warga mengungsi sampai saat ini telah berjumlah sebanyak 673 kepala keluarga (KK) atau sekitar 2.551 jiwa.
""Iya, sudah lebih 2.500 jiwa sampai siang tadi,"" kata Wali Kota Makassar, Moh Ramdhan Pomanto kepada CNNIndonesia.com, Senin (23/12).
Menurut Danny sapaan akrabnya jumlah warga yang terdampak banjir diprediksi akan bertambah seiring musim penghujan yang telah tiba dan cuaca ekstrim melanda Sulsel.
""Iya (diprediksi jumlah warga terdampak bertambah), bahkan tahun lalu sampai 5000 warga yang terdampak banjir,"" ungkapnya.

Berdasarkan data BPBD Makassar, Senin (23/12) tak hanya jumlah warga yang terdampak banjir bertambah, namun kelurahan yang terendam air juga bertambah menjadi 10 kelurahan yang berada di Kecamatan Manggala, Panakkukang, Biringkanaya dan Tamalanrea.
""Sementara ini tim BPBD terus melakukan pemantauan di titik rawan banjir dan mendata update jumlah warga yang mengungsi serta kondisi wilayah terdampak cuaca ekstrim,"" ungkapnya.
Sebelumnya, Danny menyebut banjir yang terjadi di Makassar, Sulawesi Selatan, paling parah yang disebabkan cuaca yang cukup ekstrim.
""Ini termasuk banjir yang cukup parah, cukup tinggi, ini yang kedua kali dalam awal musim penghujan ini dan kita harus bersiap kalau ini bisa berlangsung berkali-kali,"" katanya.
Danny Pomanto yang meninjau langsung kondisi warga yang terdampak banjir di lokasi pengungsian, memastikan segala kebutuhan warga akan tertangani dengan baik.
""Tadi saya lihat kondisi masyarakat, rata-rata dalam keadaan sehat, sistem kesehatan kita tercover dengan baik. Rata-rata gatal-gatal, ada sedikit demam,"" tuturnya.
Meski demikian, sejumlah warga masih ada yang bertahan di rumah masing-masing dan menolak untuk dievakuasi ke lokasi pengungsian.
""Yang ini mesti hati-hati karena banyak orang tidak mau mengungsi sedangkan protap kita membantu itu di titik pengungsian, walaupun seperti itu tadi saya sudah suruh kirim dokter ke beberapa rumah, karena kalau dia tidak mau mengungsi resikonya kita tidak pernah tahu,"" jelasnya.","Senin, 23 Des 2024 20:54 WIB",2024-12-23 21:36:29,https://akcdn.detik.net.id/visual/2024/12/21/banjir-rendam-permukiman-warga-di-makassar-1_169.jpeg?w=650&q=90
Wamen ESDM Sebut Stok BBM di Medan Tambah 5 Persen Saat Nataru,CNN Indonesia,"Wakil Menteri Energi Sumber Daya Mineral (ESDM) Yuliot Tanjung mengatakan stok BBM di wilayah Kota Medan, Sumatera Utara ditambah untuk mengantisipasi lonjakan permintaan selama perayaan Natal 2024 dan Tahun Baru 2025 (Nataru).
""Kita menambah stok BBM di seluruh stasiun pengisian, karena adanya permintaan penambahan rata-rata sebanyak 5 persen dari suplai normal. Stok sudah ditambah dari suplai normal, sehingga tidak akan ada kelangkaan,"" ujar Yuliot saat kunjungan ke Medan, Senin (23/12/2024).
Karenanya, meski permintaan meningkat, Yuliot memastikan ketersediaan BBM dan LPG selama periode Nataru ini dalam keadaan aman.
""Kami dari posko nasional Kementerian ESDM melakukan pengecekan lapangan terhadap ketersediaan BBM dan LPG. Alhamdulillah ini aman untuk ketersediaan dalam rangka Natal 2024 dan menyambut Tahun Baru 2025. Ketersediaan distribusi dilakukan secara baik sehingga ketersediaan BBM dan LPG, relatif aman,"" ujar Yuliot.

Yuliot memastikan kebutuhan BBM dan LPG secara keseluruhan mencukupi secara nasional. Tak hanya itu, pihaknya juga mengantisipasi distribusi BBM dan LPG aman saat kondisi cuaca ekstrem.
""Karena ini pergantian tahun, dan biasanya pada Desember ada kecenderungan cuaca ekstrem, kita juga untuk distribusi sudah antisipasi, dan juga kita sudah menyiapkan antisipasi kebencanaan, baik banjir, pergesaran tanah, dan juga kemungkinan terjadinya letusan gunung,"" sebutnya.
Sementara, Direktur Manajemen Risiko Subholding Commercial & Trading PT Pertamina Patra Niaga Rahman Pramono Wibowo mengatakan Pertamina Patra Niaga juga menyiapkan layanan khusus untuk menjamin kelancaran distribusi energi di Sumatera Bagian Utara.
""Di Sumatera Utara kami mengoperasikan 287 SPBU Siaga di jalur strategis, 7 titik Modular Kiosk Pertamina Siaga serta 45 unit mobil tangki stand-by untuk memastikan distribusi BBM tetap lancar di titik-titik pusat keramaian perayaan Natal dan Tahun Baru. Selain itu, terdapat 32 unit motorist yang siap melayani pengantaran BBM ke lokasi saat kondisi emergency,"" jelas Rahman.

Selain BBM, Rahman menyampaikan untuk memenuhi kebutuhan LPG, Pertamina Patra Niaga pun telah menyiapkan 87 SPPBE LPG Siaga, 932 agen LPG (PSO & NPSO) Siaga, 37.236 pangkalan LPG PSO siaga dan 7.206 pangkalan LPG NPSO siaga di wilayah tersebut.
""Pertamina sebagai pemimpin di bidang transisi energi, berkomitmen dalam mendukung target Net Zero Emission 2060 dengan terus mendorong program-program yang berdampak langsung pada capaian Sustainable Development Goals (SDG's),"" sebutnya.
Freddy Anwar menambahkan dalam masa satgas yang tengah berjalan ini, Pertamina Patra Niaga Regional Sumbagut menyiagakan seluruh sarana fasilitasnya seperti di Fuel Terminal, Integrated Terminal dan Aviation Fuel Terminal.


""Seluruh sarana dan fasilitas Pertamina Patra Niaga Regional Sumbagut kami pastikan berfungsi dengan optimal dalam memenuhi kebutuhan energi bagi masyarakat khususnya di Sumatera Utara dan umumnya di seluruh wilayah operasi kami di Sumbagut (Aceh, Kepri, Riau, Sumbar dan Sumut)"", terang Freddy Anwar.
Di tempat terpisah VP Corporate Communication Pertamina Fadjar Djoko Santoso mengungkapkan bahwa seluruh upaya tersebut dilakukan oleh Pertamina bersama Satgas Nataru dan seluruh pihak terkait untuk menjaga ketersediaan energi serta demi memberikan layanan terbaik untuk masyarakat di seluruh Indonesia.
""Ini merupakan layanan untuk masyarakat dalam rangka Nataru agar bisa berjalan lancar. Semoga dengan upaya ini masyarakat yang beribadah bisa menjalankannya dengan baik bersama keluarga. Masyarakat yang menikmati libur Natal dan Tahun Baru bisa berwisata dengan aman dan nyaman,"" ungkap Fadjar.
[Gambas:Video CNN]","Senin, 23 Des 2024 20:52 WIB",2024-12-23 21:36:29,https://akcdn.detik.net.id/visual/2023/01/03/pertamina-turunkan-harga-pertamax-17_169.jpeg?w=650&q=90
"Harga Telur Sentuh Rp30 Ribu Jelang Nataru, Stok Beras dan Ayam Aman",CNN Indonesia,"Menteri Koordinator Bidang Pangan Zulkifli Hasan (Zulhas) memastikan ketersediaan pangan dalam menghadapi Natal dan Tahun Baru (Nataru) dalam kondisi aman.
Hal ini disampaikan setelah ia memimpin Rapat Koordinasi Terbatas (Rakortas) di Kantor Kemenko Pangan, Jakarta, Senin (23/12).
Ia menegaskan stok beras cukup, persediaan daging ayam juga aman, tetapi harga telur sedikit naik menjadi sekitar Rp30 ribu per kilogram (kg).
""Saya sudah ke pasar-pasar, aman harganya. Beras cukup, ayam segala macam sudah cukup. Telur naik sedikit, dari Rp28 ribu ke Rp30 ribu. Ini kan Nataru, jadi untung sedikit,"" kata Zulhas.

Selain itu, Zulhas menjelaskan salah satu agenda yang dibahas dalam Rakortas adalah rencana meningkatkan stok beras Bulog dari 2 juta ton menjadi 2,5 juta ton pada akhir tahun ini. Tambahan sebanyak 500 ribu ton tersebut akan diperoleh dari produksi dalam negeri.
Menurut Zulhas, langkah ini merupakan bagian dari upaya pemerintah untuk mencapai swasembada pangan.
""Pertama kita tadi membahas mengenai Cadangan Pangan Pemerintah (CPP). Sudah kami putuskan tadi, beras kalau sekarang stok kita 2 juta (ton), kita rencanakan nanti akan kami bawa ke Ratas (Rapat Terbatas) dengan Bapak Presiden sekurang-kurangnya 2,5 juta cadangan beras kita,"" kata Zulhas.
Ia juga menambahkan dengan tambahan cadangan beras pemerintah (CBP) sebesar 500 ribu ton, pemerintah dapat menyerap lebih banyak hasil panen petani.

Selain itu, peningkatan stok menjadi 2,5 juta ton ini juga, kata Zulhas, memberikan rasa tenang karena ketersediaan pangan lebih terjamin.
""Perlu ada cadangan pemerintah, stok Bulog yang kita naikkan beras dari 2 juta (ton), (menjadi) 2,5 juta (ton) atau 3 juta (ton), jagung kira-kira antara 1 juta (ton) dan 3 juta (ton) dengan yang lain-lain,"" ujar Zulhas.
Menurutnya, swasembada jagung dapat dicapai karena komoditas ini dapat tumbuh di mana saja, asalkan hasil produksi petani dibeli dengan harga yang menguntungkan, yaitu sekitar Rp5.000-Rp5.500 per kg.
""Kalau selama ini stok Bulog cuma 100 ribu ton, itu belum banyak. Kita usulkan ke presiden agar ditingkatkan jadi 1-2 juta ton,"" ucapnya.


Zulhas menambahkan jika Bulog membeli jagung seharga Rp5.500 per kg dan menjualnya di harga Rp4.500 karena pemerintah akan memberikan subsidi Rp1.000 per kg.
""Kalau 2 juta ton itu Rp2 triliun. Kalau 1 juta ton, Rp1 triliun,"" jelas Zulhas.
[Gambas:Video CNN]","Senin, 23 Des 2024 20:45 WIB",2024-12-23 21:36:29,https://akcdn.detik.net.id/visual/2022/06/25/zulkifli-hasan_169.jpeg?w=650&q=90
"Libur Nataru Lebih Nyaman, Pertamina Hadirkan Serambi MyPertamina",CNN Indonesia,"Pertamina Patra Niaga menegaskan komitmennya dalam memberikan kenyamanan yang melakukan perjalanan libur akhir tahun di periode Natal dan Tahun Baru 2025 (Nataru).
Selama periode 17 Desember hingga 5 Januari 2025, Pertamina Patra Niaga memberikan layanan tambahan Serambi MyPertamina dan Pertamina Energi Berbagi di berbagai titik rest area dan lokasi pelabuhan dan bandara.
Corporate Secretary Pertamina Patra Niaga, Heppy Wulansari mengatakan, tujuan utama dari layanan tambahan ini untuk mendukung kelancaran perjalanan masyarakat selama periode libur Nataru.
""Kami memberikan layanan tambahan untuk membuat perjalanan masyarakat semakin lancar dan aman selama masa Nataru 2024/2025,"" ujar Heppy, Jumat (20/12).
Heppy menerangkan, masyarakat yang bepergian saat masa Nataru 2024/2025 bisa memanfaatkan layanan Serambi MyPertamina, antara lain mushola, nursery room, konsultasi kesehatan, barbershop, area santai, kursi pijat, playground, game console, dan snack. Fasilitas ini ditujukan agar pelanggan bisa beristirahat dengan maksimal sebelum melanjutkan perjalanan ke tujuan.
Selain itu, selama masa Nataru 2024/2025, Pertamina juga memberikan bantuan kepada masyarakat di sekitar lokasi melalui Pertamina Energi Berbagi.
""Pengunjung bisa memanfaatkan fasilitas di Serambi MyPertamina menggunakan aplikasi MyPertamina dengan menukarkan poin untuk layanan barbershop, sementara layanan lainnya seperti cek kesehatan, playground, dan snack gratis,"" ujar Heppy.
Fasilitas Serambi MyPertamina ini tersedia di sejumlah lokasi strategis, seperti rest area tol, bandara, pelabuhan, hingga bandara.
Rest Area Tol
Rest Area KM 43 A ruas Tol Jakarta Merak, Rest Area KM 57 A ruas Tol Jakarta Cikampek, Rest Area KM 379 A ruas Tol Pemalang Batang, Rest Area KM 260 B ruas Tol Pemalang Pejagan, Rest Area KM 725 A ruas Tol Surabaya Mojokerto, dan Rest Area KM 66 A ruas Tol Malang Pandaan.
Bandara
Bandara Kualanamu Medan, Bandara Sultan Mahmud Badaruddin II Palembang, Bandara Juanda Surabaya, Bandara I Gusti Ngurah Rai Denpasar, Bandara Sepinggan Balikpapan, Bandara Sultan Hasanuddin Makassar, Bandara Sam Ratulangi Manado, Bandara Sentani Jayapura, san Bandara Pattimura Ambon.
Pelabuhan dan Kawasan Wisata
Pelabuhan Bakauheni Lampung, dan Kawasan Wisata Pangandaran
Informasi lebih lanjut mengenai titik layanan dan fasilitas Serambi MyPertamina dapat diakses melalui aplikasi MyPertamina, media sosial @mypertamina @pertaminapatraniaga dan website https://mypertamina.id/Nataru2025 atau dapat menghubungi Pertamina Call Center (PCC) 135.","Senin, 23 Des 2024 20:40 WIB",2024-12-23 21:36:29,https://akcdn.detik.net.id/visual/2024/12/23/bnr-pertamina-2_169.jpeg?w=650&q=90
"Batik Nitiwastra, Simbol Keindahan dan Warisan Budaya Dewi Motik",CNN Indonesia,"Batik telah dikenal sebagai salah satu identitas budaya Indonesia. Batik bukan sekadar kain, tapi merupakan mahakarya yang menyimpan cerita, filosofi, dan identitas bangsa.
Lewat tangan dingin Dewi Motik Pramono, tokoh perempuan inspiratif yang dikenal luas akan kontribusinya terhadap budaya dan pemberdayaan perempuan, lahir Batik Nitiswastra sebagai wujud pelestarian dan inovasi batik Indonesia.
Di bawah naungan Galeri Demono, batik ini tidak hanya mencerminkan keindahan seni tradisional, tapi juga menjadi medium untuk menghubungkan generasi muda dengan warisan leluhur yang berharga.
Dewi mengaku, batik Nitiswastra bukan hanya batik yang diciptakan atas dasar keindahan, tapi juga sebagai medium untuk melestarikan warisan nenek moyang sekaligus mendukung pemberdayaan pengrajin batik Indonesia.
""Intinya kita tidak boleh berpikir kuno, batik harus bisa dinikmati semua orang, bisa dipakai semua orang dan semua kalangan,"" kata Dewi di Gedung ANRI, Jakarta Selatan, Senin (23/12).

Nama Nitiswastra sendiri berasal dari dua kata dalam bahasa Sanskerta, yaitu 'niti' yang berarti pelestarian atau keteraturan dan 'wastra' yang berarti kain. Kombinasi ini mencerminkan filosofi batik Nitiswastra sebagai wujud pelestarian budaya Indonesia melalui kain batik yang memadukan nilai tradisional dan modern.
Batik Nitiswastra juga menawarkan berbagai koleksi batik yang tidak hanya memanjakan mata tetapi juga sarat makna. Desain-desainnya menggabungkan pola tradisional dengan sentuhan kontemporer, sehingga mencerminkan identitas yang kaya sekaligus relevan dengan selera masa kini.
Koleksi ini tidak hanya berupa kain batik tradisional, tetapi juga telah dikreasikan menjadi berbagai produk fesyen seperti kebaya modern, pakaian formal, hingga aksesori. Hal ini bertujuan agar batik lebih mudah diterima oleh berbagai kalangan, termasuk generasi muda.
""Saya percaya batik adalah salah satu identitas bangsa kita. Lewat Batik Nitiswastra, kami ingin memastikan seni ini tidak hanya dikenang tetapi juga tetap hidup,"" kata Dewi.
Melalui inisiatif ini, Batik Nitiswastra mendukung pengrajin batik lokal untuk terus berkembang dan berinovasi. Dewi Motik juga sering mengadakan pelatihan bagi komunitas perempuan untuk meningkatkan keterampilan mereka dalam membuat batik, sehingga memberikan nilai tambah bagi kehidupan mereka.
Salah satu nilai yang dipegang teguh oleh Batik Nitiswastra adalah pendekatan ramah lingkungan dalam proses produksinya. Penggunaan pewarna alami dan bahan-bahan yang tidak mencemari lingkungan menjadi prioritas dalam setiap karya yang dihasilkan.","Senin, 23 Des 2024 20:37 WIB",2024-12-23 21:36:29,https://akcdn.detik.net.id/visual/2020/10/02/ilustrasi-batik_169.jpeg?w=650&q=80
